Purchase+500.00500.002026-08-03PU0002Bismillah Enterprise (01759397170)
Purchase+500.001000.002026-08-04PU0003Bismillah Enterprise (01759397170)
Opening Stock+570.001570.002026-08-05STK-88Opening Stock
Purchase+500.002070.002026-08-05PU0004Bismillah Enterprise (01759397170)
Production Consume-10.003346.002026-08-11 11:12:13PROD-PROD-20260810195310Batch: PROD-20260810195310
Production Consume-15.003331.002026-08-11 11:12:18PROD-PROD-20260810194744Batch: PROD-20260810194744
Production Consume-35.003296.002026-08-11 11:12:22PROD-PROD-20260810194717Batch: PROD-20260810194717
Production Consume-20.003276.002026-08-11 11:12:26PROD-PROD-20260810194622Batch: PROD-20260810194622
Production Consume-15.003261.002026-08-11 11:12:31PROD-PROD-20260810194600Batch: PROD-20260810194600
Production Consume-30.003231.002026-08-11 11:12:35PROD-PROD-20260810194331Batch: PROD-20260810194331
Production Consume-15.003216.002026-08-11 11:12:39PROD-PROD-20260810194241Batch: PROD-20260810194241
Production Consume-10.003206.002026-08-11 11:12:42PROD-PROD-20260810193845Batch: PROD-20260810193845
Production Consume-3.753202.252026-08-11 11:12:46PROD-PROD-20260810193648Batch: PROD-20260810193648
Production Consume-100.003102.252026-08-11 11:12:50PROD-PROD-20260810193424Batch: PROD-20260810193424
Production Consume-62.503039.752026-08-11 11:13:19PROD-PROD-20260810193402Batch: PROD-20260810193402
Production Consume-25.003014.752026-08-11 11:13:22PROD-PROD-20260810193333Batch: PROD-20260810193333
Production Consume-12.503002.252026-08-11 11:13:25PROD-PROD-20260810193310Batch: PROD-20260810193310
Production Consume-2.502999.752026-08-11 11:13:30PROD-PROD-20260810193214Batch: PROD-20260810193214
Production Consume-15.002984.752026-08-11 11:13:33PROD-PROD-20260810191930Batch: PROD-20260810191930
Production Consume-5.002979.752026-08-11 11:13:36PROD-PROD-20260810191448Batch: PROD-20260810191448
Production Consume-80.002899.752026-08-11 11:13:52PROD-PROD-20260810181631Batch: PROD-20260810181631
Production Consume-30.002869.752026-08-11 11:13:56PROD-PROD-20260810181545Batch: PROD-20260810181545
Production Consume-50.002819.752026-08-11 11:13:58PROD-PROD-20260810181511Batch: PROD-20260810181511
Production Consume-100.002719.752026-08-11 11:15:27PROD-PROD-20260810142214Batch: PROD-20260810142214
Production Consume-100.002619.752026-08-11 18:36:11PROD-PROD-20260811183436Batch: PROD-20260811183436
Production Consume-16.502603.252026-08-11 18:36:52PROD-PROD-20260811183032Batch: PROD-20260811183032
Production Consume-1.602601.652026-08-11 18:37:00PROD-PROD-20260811182949Batch: PROD-20260811182949
Production Consume-1.332600.322026-08-11 18:37:03PROD-PROD-20260811182932Batch: PROD-20260811182932
Production Consume-12.502587.822026-08-11 18:37:12PROD-PROD-20260811182846Batch: PROD-20260811182846
Production Consume-4.102583.722026-08-11 18:37:17PROD-PROD-20260811182820Batch: PROD-20260811182820
Production Consume-8.222575.502026-08-11 18:37:30PROD-PROD-20260811182757Batch: PROD-20260811182757
Production Consume-2.502573.002026-08-11 18:37:33PROD-PROD-20260811182718Batch: PROD-20260811182718
Production Consume-18.222554.782026-08-11 18:37:36PROD-PROD-20260811182633Batch: PROD-20260811182633
Production Consume-67.042487.742026-08-11 18:37:40PROD-PROD-20260811182606Batch: PROD-20260811182606
Production Consume-2.882484.862026-08-11 18:37:42PROD-PROD-20260811182537Batch: PROD-20260811182537
Production Consume-100.002384.862026-08-11 18:40:21PROD-PROD-20260810141338Batch: PROD-20260810141338
Production Consume-2100.00284.862026-08-11 18:40:34PROD-PROD-20260810141153Batch: PROD-20260810141153
Production Consume-100.00184.862026-08-11 18:41:09PROD-PROD-20260810135821Batch: PROD-20260810135821
Production Consume-4.00180.862026-08-11 18:41:15PROD-PROD-20260810100032Batch: PROD-20260810100032
Production Consume-2.80178.062026-08-11 18:41:21PROD-PROD-20260810095713Batch: PROD-20260810095713
Production Consume-1.33176.732026-08-11 18:41:23PROD-PROD-20260810095649Batch: PROD-20260810095649
Production Consume-18.75157.982026-08-11 18:41:38PROD-PROD-20260810095551Batch: PROD-20260810095551
Production Consume-6.25151.732026-08-11 18:41:53PROD-PROD-20260810095517Batch: PROD-20260810095517
Production Consume-4.10147.632026-08-11 18:41:56PROD-PROD-20260810095257Batch: PROD-20260810095257
Production Consume-7.64139.992026-08-11 18:41:57PROD-PROD-20260810095215Batch: PROD-20260810095215
Production Consume-2.00137.992026-08-11 18:41:59PROD-PROD-20260810095116Batch: PROD-20260810095116
Production Consume-15.40122.592026-08-11 18:42:01PROD-PROD-20260810095057Batch: PROD-20260810095057
Production Consume-63.5259.072026-08-11 18:42:03PROD-PROD-20260810095002Batch: PROD-20260810095002
Production Consume-3.0056.072026-08-11 18:42:06PROD-PROD-20260810094933Batch: PROD-20260810094933
Production Consume-7.5048.572026-08-11 18:43:16PROD-PROD-20260811181837Batch: PROD-20260811181837
Production Consume-0.6647.912026-08-11 18:43:18PROD-PROD-20260811181757Batch: PROD-20260811181757
Production Consume-10.0037.912026-08-11 19:05:49PROD-PROD-20260809115645Batch: PROD-20260809115645
Production Consume-2.8035.112026-08-11 19:07:53PROD-PROD-20260809120758Batch: PROD-20260809120758
Production Consume-2.2032.912026-08-11 19:08:59PROD-PROD-20260809121132Batch: PROD-20260809121132
Production Consume-58.8220.002026-08-11 19:14:11PROD-PROD-20260809120944Batch: PROD-20260809120944
Production Consume-80.000.002026-08-11 19:14:25PROD-PROD-20260810180650Batch: PROD-20260810180650
